序号,书名,评分,评价人数,作者,出版社
1,用所有的存在与世界相会,9.3,35,作者/译者： 萧秋水 ,出版信息：  北京联合出版有限责任公司 / 2015-12-1 / 39.80
2,成功，动机与目标,9.1,216,作者/译者： 海蒂?格兰特?霍尔沃森 (Heidi Grant Halvorson) / 汤珑 ,出版信息：  译林出版社 / 2013-3-1 / 48.80元
3,打破自我的标签,9.1,49,作者/译者： 陈虎平 ,出版信息：  电子工业出版社 / 2016-1-1 / 55.00元
4,The Art of Learning,9.1,95,作者/译者： Josh Waitzkin ,出版信息：  Free Press / 2007-05-08 / GBP 16.99
5,Beyond Feelings,9,316,作者/译者： Vincent Ruggiero ,出版信息：  McGraw-Hill Higher Education / 2003-08-10 / GBP 38.99
6,权力与领导（第5版）,9,88,作者/译者： [美]詹姆斯·克劳森（James G. Clawson） / 马昕 ,出版信息：  世界图书出版公司·后浪出版公司 / 2015-2 / 52.00元
7,The Willpower Instinct,9,369,作者/译者： Kelly McGonigal ,出版信息：  Avery / 2011-12-29 / USD 26.00
8,优势谈判,9,138,作者/译者： [美]罗杰?道森 (Roger Dawson) / 刘祥亚 ,出版信息：  海天出版社 / 2012-1-1 / 68.00元
9,Asking the Right Questions,9,553,作者/译者： M. Neil Browne / Stuart M. Keeley ,出版信息：  Prentice Hall / 2006-2-10 / USD 48.20
10,The Road Less Traveled (少有人走的路),9,442,作者/译者： Peck ,出版信息：  Holiday House; Intl edition / 1997年 / 64.0
11,德鲁克管理思想精要,9,142,作者/译者： 德鲁克 / 李维安 ,出版信息：  机械工业出版社 / 2007-6 / 45.00元
12,卓有成效的管理者 （中英文双语典藏版）,9,1060,作者/译者： [美] 彼德·德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-8 / 38.00元
13,作文三书（全三册）,9,95,作者/译者： 王鼎钧 ,出版信息：  国际文化 / 2007-12 / 54.00元
14,沟通圣经,8.9,37,作者/译者： [英]尼基·斯坦顿 / 罗慕谦 ,出版信息：  北京联合出版公司·后浪出版公司 / 2016-1 / 45.00元
15,松浦彌太郎說：假如我現在25歲，最想做的50件事,8.9,36,作者/译者： 松浦彌太郎 / 楊明綺 ,出版信息：  悅知文化 / 2015-2-6 / NT$300
16,影响力,8.9,4469,作者/译者： [美] 罗伯特·B. 西奥迪尼 / 张力慧 ,出版信息：  中国社会科学出版社 / 2001-12 / 38.00元
17,The Hard Thing About Hard Things,8.9,301,作者/译者： Ben Horowitz ,出版信息：  HarperBusiness / 2014-3-4 / USD 29.99
18,卓有成效的管理者,8.9,639,作者/译者： [美] 彼得·德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2009-9 / 30.00元
19,穷查理宝典,8.9,719,作者/译者： [美] 查理·芒格 / [美] 彼得·考夫曼（编） / 李继宏 ,出版信息：  上海人民出版社 / 2010-05 / 398.00
20,Thinking Fast and Slow,8.9,261,作者/译者： Daniel Kahneman ,出版信息：  LANE ALLEN / 2011-11 / 288.00元
21,The Defining Decade,8.9,213,"作者/译者： Jay, Meg ",出版信息：  Twelve / 2012-4 / $ 25.98
22,一個新世界,8.9,135,"作者/译者： 艾克哈特．托勒 / Tolle, Eckhart / 張德芬 ",出版信息：  方智出版社股份有限公司 / 2008.7.25 / NT$290
23,智慧书,8.9,872,作者/译者： 巴尔塔沙·葛拉西安 / 英译：约瑟夫·雅各布斯 / 汉译：王涌芬 ,出版信息：  中央编译出版社 / 2008-10 / 28.00元
24,创能量,8.9,26,作者/译者： 林正刚 ,出版信息：  浙江人民出版社 / 2015-4 / 42.90
25,囚徒健身,8.8,2743,作者/译者： 保罗·威德 / 谷红岩 ,出版信息：  北京科学技术出版社 / 2013-10-1 / 79.00元
26,卓有成效的管理者,8.8,7324,作者/译者： [美] 彼得·德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-6 / 28.00元
27,把时间当作朋友（第3版）,8.8,957,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2013-10 / 59.00元
28,第五项修炼,8.8,1030,作者/译者： 彼得·圣吉 ,出版信息：  中信出版社 / 2009-10-1 / 58.00元
29,动机与人格,8.8,1004,作者/译者： 亚伯拉罕·马斯洛 (Abraham H.Maslow) ,出版信息：  中国人民大学出版社 / 2007-4-1 / 45.00元
30,人的潜能和价值,8.8,222,作者/译者： [美]马斯洛(Maslow A.H) 等著 / 林方 主编 ,出版信息：  华夏出版社 / 1987年2月一版一次 / 3.85元
31,伯恩斯新情绪疗法,8.8,406,作者/译者： [美] 戴维·伯恩斯 / 李亚萍 ,出版信息：  中国城市出版社 / 2011-1 / 49.80元
32,Beyond Feelings,8.8,62,作者/译者： Vincent Ruggiero ,出版信息：  McGraw-Hill Education / 2011-2-8 / $ 92.66
33,洛克菲勒留给儿子的38封信,8.8,2047,作者/译者： 约翰·D·洛克菲勒 (John Davison Rockefeller) / 严硕 ,出版信息：  中国妇女出版社 / 2004-7 / 29.80
34,自控力,8.8,43,作者/译者： [美] 凯利·麦格尼格尔 ,出版信息：  印刷工业出版社 / 2013-7-1 / 49.80元
35,The Power of Now,8.8,325,作者/译者： Eckhart Tolle ,出版信息：  New World Library / 2004-9 / USD 15.00
36,Make it Stick,8.8,26,"作者/译者： Brown, Peter C. ",出版信息：  The Belknap Press / 2014-4-25 / USD 31.58
37,沟通的艺术（插图修订第14版）,8.7,939,作者/译者： [美]罗纳德·B·阿德勒 / 拉塞尔·F·普罗科特 / 黄素菲 / 李恩 ,出版信息：  世界图书出版公司·后浪出版公司 / 2015-1 / 68.00元
38,被讨厌的勇气,8.7,273,作者/译者： 岸见一郎 / 古贺史健 / 渠海霞 ,出版信息：  机械工业出版社 / 2015-3-1 / 39.8
39,无器械健身,8.7,1236,作者/译者： 马克·劳伦 / 乔舒亚·克拉克 ,出版信息：  北京科学技术出版社 / 2012-9-1 / 49.00元
40,Becoming Steve Jobs,8.7,177,作者/译者： Brent Schlender / Rick Tetzeli ,出版信息：  Crown Business / 2015-3-24 / USD 30.00
41,小强升职记,8.7,463,作者/译者： 邹鑫 ,出版信息：  电子工业出版社 / 2014-4-1 / 39.00元
42,谈修养,8.7,735,作者/译者： 朱光潜 ,出版信息：  广西师范大学出版社 / 2004-11 / 16.00元
43,目标,8.7,1251,作者/译者： 艾利·高德拉特 / 杰夫·科克斯 / 齐若兰 ,出版信息：  电子工业出版社 / 2006.1 / 48.0
44,幸福超越完美,8.7,306,作者/译者： 泰勒?本-沙哈尔博士 / 倪子君 ,出版信息：  机械工业出版社 / 2011-4 / 39.00元
45,创新算法,8.7,81,作者/译者： 根里奇·斯拉维奇·阿奇舒勒 / 谭增波 / 茹海燕 ,出版信息：  华中科技大学出版社 / 2008-10 / 32.80元
46,强势,8.7,49,作者/译者： （美）曼纽尔 ? J ? 史密斯 / 欧阳瑾 / 陈 兰 ,出版信息：  江苏文艺出版社 / 2014-8 / 42.00元
47,自我导向行为,8.7,239,作者/译者： 戴维·L.华生 (David L.Watson) / 罗兰德·G.夏普 (Roland G.Tharp) / 陈侠 / 钟小族 / 陈丽 ,出版信息：  中国人民大学出版社 / 2009-7 / 48.00元
48,如何閱讀一本書,8.7,165,作者/译者： 莫提默．艾德勒（Mortimer J. Adler） / 查理．范多倫（Charles Van Doren） / 郝明義 / 朱衣 ,出版信息：  台灣商務 / 2003-7-1 / 新台幣420元
49,Willpower,8.7,323,作者/译者： Roy F. Baumeister / John Tierney ,出版信息：  Penguin Press / 2011-9 / GBP 17.85
50,不会写，怎敢拼外企——TCS三级跳 解析商务英语写作经典案例,8.7,84,作者/译者： 戴愫 ,出版信息：  上海译文出版社 / 2014-1 / 35元
